ExAC_zScore_pLI	ExAC_zScore_indel	min_D_Frequency	gene_count	morbidGene_count
20	1.25092697411295	-1.0	237	44
3	-10.0	-1.0	93	2
0	-10.0	0.00016175	1	0
0	-10.0	-1.0	7	0
1	2.12635230559952	-1.0	4	1
0	-10.0	-1.0	1	0
1	-0.473549305487537	-1.0	1	0
3	0.7328335455090059	-1.0	19	3
1	-10.0	-1.0	2	0
8	0.833555351646072	-1.0	110	14
31	2.1171671566195904	-1.0	267	26
1	1.28615593586621	-1.0	1	0
1	0.951955580902754	-1.0	2	0
7	0.489983736503025	-1.0	88	11
27	1.61561745402104	-1.0	265	40
0	-10.0	0.0	3	0
0	-10.0	0.03496084	4	0
0	-10.0	0.0	0	0
0	-10.0	-1.0	1	0
0	0.806486359230262	-1.0	2	0
0	-10.0	-1.0	1	0
6	0.92089419949657	-1.0	153	10
0	-2.53125239294469	-1.0	22	0
0	0.92089419949657	0.0	41	0
10	-10.0	-1.0	31	14
31	1.16249511429468	-1.0	397	50
0	-1.44320548803424	0.00248644	1	0
1	-0.289172292908862	-1.0	2	2
0	-10.0	0.0	0	0
42	1.69848117542375	-1.0	362	37
0	-2.53125239294469	0.00302965	1	0
1	0.920693495112438	-1.0	1	1
0	-10.0	0.0	0	0
0	-10.0	0.0	0	0
42	1.66167268004947	-1.0	389	45
1	-0.15316203432419	-1.0	1	0
0	-10.0	0.0	0	0
0	-10.0	0.00016175	4	0
0	0.16174415580419102	-1.0	6	1
1	0.8817860585285121	-1.0	4	0
1	-10.0	0.16539408	2	1
0	-10.0	0.0	0	0
0	1.87352776570283	0.0	1109	0
0	-10.0	0.00120555	1	0
0	-10.0	0.0	3	0
0	0.4781269204036339	-1.0	3	2
0	-10.0	-1.0	1	0
87	1.07760397985181	-1.0	626	82
0	0.488616986059929	-1.0	4	1
1	-1.23830818831922	-1.0	1	1
0	-10.0	0.00129898	2	0
1	1.37038042178382	0.0003484	2	1
0	0.128896984276165	-1.0	1	0
1	-10.0	-1.0	1	0
0	-1.83692752381716	0.00195037	1	1
0	-10.0	0.0090154	16	1
0	-10.0	0.0	0	0
5	-1.89912490049618	-1.0	65	7
0	0.7494340513367941	0.00014497	3	1
0	1.32464443842359	0.0	410	0
0	-10.0	-1.0	27	0
0	-10.0	0.0	0	0
1	1.09701000849732	-1.0	2	0
0	-10.0	0.00045954	1	0
1	-1.5874132893873998	-1.0	2	0
0	-10.0	0.00120555	1	0
16	1.55988372218649	-1.0	71	15
3	0.664034169692636	-1.0	37	5
0	-10.0	0.16437219	1	0
0	-10.0	-1.0	1	0
1	-1.23597419526284	-1.0	1	0
0	-0.34152640937843204	-1.0	1	0
0	-10.0	-1.0	1	0
0	-2.32607236941561	-1.0	4	1
0	-10.0	0.00015318	4	0
0	-10.0	-1.0	1	0
1	-2.53125239294469	-1.0	1	0
0	-2.53125239294469	-1.0	2	0
0	-10.0	0.0	2	0
0	-2.53125239294469	0.00348968	1	0
0	0.8154103838095179	0.00097013	6	0
0	-0.6367787605799949	-1.0	3	1
0	-10.0	0.03165887	23	0
1	-2.22273515062505	-1.0	1	0
0	-0.0362849952427123	-1.0	8	1
0	-0.276965016632095	-1.0	15	2
2	-1.71742496154488	-1.0	3	2
0	-0.485791991868546	-1.0	1	0
0	-0.437089476923503	-1.0	9	0
2	-0.8880834392406329	-1.0	9	2
7	1.09049990149323	-1.0	90	9
0	-10.0	0.0	0	0
0	-0.477054147176997	-1.0	1	0
0	-10.0	0.0	0	0
0	-10.0	0.0	0	0
1	0.0567471792513203	-1.0	3	1
0	-10.0	0.0	0	0
135	1.7506943326587798	-1.0	1098	141
0	-10.0	0.03496084	3	0
0	-10.0	0.01274089	9	0
0	0.0159631069818757	0.0	28	0
0	-10.0	0.0	0	0
1	-0.4504240127737629	-1.0	1	1
1	2.12635230559952	-1.0	1	1
0	-10.0	0.0	0	0
25	1.45343378844928	-1.0	153	19
1	-10.0	-1.0	2	0
0	-2.4101783616005803	-1.0	1	1
1	-2.53125239294469	-1.0	1	0
0	-1.33773709158898	0.00018462	2	1
0	-10.0	-1.0	27	0
0	-10.0	0.0	0	0
0	0.57433430910573	-1.0	2	0
21	1.37434719683734	-1.0	113	15
0	1.071537589513	0.00035411	1	0
0	-10.0	0.0	0	0
0	-10.0	0.0	0	0
1	-0.6196517478078629	-1.0	3	0
0	1.10408998668554	-1.0	1	1
0	-10.0	0.0	7	0
1	-0.673614265013756	-1.0	6	2
0	-10.0	0.0	0	0
0	-0.276965016632095	-1.0	15	2
0	-2.53125239294469	0.0	3	0
1	-0.0019460146154904	-1.0	2	1
0	-10.0	0.03905999	13	0
0	-1.15674497495667	0.0016140999999999998	4	0
0	-2.53125239294469	-1.0	1	0
1	-2.53125239294469	0.00195037	4	2
0	-10.0	0.0	0	0
0	0.649658437845353	-1.0	5	1
0	-10.0	0.0	12	0
0	-2.53125239294469	0.00048524	1	1
0	-2.53125239294469	-1.0	2	0
0	0.870981889007304	-1.0	1	0
0	-10.0	-1.0	20	0
0	-0.7528590581221241	0.0	1	0
0	-10.0	0.01134021	5	0
0	-10.0	0.0	26	0
1	-0.885435847711346	0.00116237	5	1
0	-1.7781587101931202	-1.0	5	1
0	-2.53125239294469	0.00348968	1	0
0	-0.132674835032558	0.00031213	1	1
2	-2.53125239294469	0.00117314	51	3
0	-10.0	0.0	21	0
0	-10.0	0.00016175	2	0
0	-10.0	-1.0	2	0
0	-10.0	0.00157015	3	1
27	1.4625774263791902	-1.0	250	25
0	0.43938685047815	-1.0	2	0
1	1.37038042178382	0.00203772	1	1
0	0.32404464106756503	-1.0	13	2
5	0.742047160588102	-1.0	39	11
0	-10.0	0.0	0	0
9	0.331001753343709	-1.0	187	11
19	1.33690342975079	-1.0	152	26
1	-2.06331933272448	-1.0	3	1
7	1.29321815162315	-1.0	53	7
19	-10.0	-1.0	64	22
0	1.79890184043068	0.0	2804	0
0	-10.0	-1.0	1	0
0	-0.419680602946695	-1.0	1	0
3	-0.276553449993883	0.00010212	46	7
0	-10.0	-1.0	13	0
15	1.24964222676596	-1.0	190	22
0	-10.0	-1.0	1	0
0	-1.08840093292077	0.00014535	4	0
0	-10.0	0.00107991	1	1
0	0.775609248973573	0.00082919	1	0
0	-10.0	0.01578663	2	0
0	-10.0	0.01033747	1	0
0	-2.53125239294469	-1.0	7	0
5	0.0159631069818757	-1.0	30	1
3	-10.0	-1.0	12	3
0	-10.0	0.06227625	9	0
0	-10.0	0.0	0	0
0	-1.04390053511398	-1.0	1	0
0	0.728982282539545	-1.0	3	0
0	-1.83657646193973	0.0	33	0
2	-10.0	-1.0	5	3
1	1.03593237786764	-1.0	1	0
0	-10.0	0.02768919	16	0
1	0.610072243653781	-1.0	4	0
0	-10.0	0.0	0	0
6	0.0159631069818757	-1.0	49	2
1	-2.53125239294469	0.0002907	10	1
0	0.00157693410900669	-1.0	2	0
4	0.87768556137485	-1.0	87	6
123	-10.0	-1.0	733	117
0	-2.53125239294469	0.00450581	1	1
0	-10.0	0.0	6	0
0	-0.92044353567352	0.00010212	2	0
0	-10.0	0.0	0	0
0	0.742047160588102	0.0	42	0
0	-10.0	-1.0	40	0
10	1.65848918766018	-1.0	69	13
0	-10.0	0.00137083	2	0
2	-0.104976926414284	-1.0	6	2
2	-10.0	-1.0	17	1
1	1.10389601923508	-1.0	1	1
0	-10.0	0.0	0	0
1	0.204471985907468	0.00022662	3	1
0	-0.236693959405065	-1.0	1	0
0	-2.53125239294469	-1.0	1	0
0	-10.0	-1.0	2	0
1	-2.22273515062505	-1.0	1	0
1	-1.90330344693036	0.01744533	1	0
0	0.16385272905346698	0.00040437	1	0
0	-10.0	0.0	0	0
0	-10.0	-1.0	4	0
39	1.48125819030658	-1.0	373	41
0	-1.09613416514508	0.00055356	1	0
0	-10.0	0.0	3	0
9	0.331001753343709	-1.0	191	11
0	-2.53125239294469	0.0002553	2	0
0	-2.3803350770415297	-1.0	5	0
0	-10.0	0.0	0	0
0	-10.0	-1.0	27	0
0	-10.0	0.0	27	0
1	0.119776393909469	-1.0	2	1
0	-10.0	0.0	0	0
51	1.7506943326587798	-1.0	370	52
0	0.331001753343709	0.0	123	0
22	1.85575794331124	-1.0	208	22
0	-10.0	0.0	0	0
33	1.48125819030658	-1.0	318	38
0	-10.0	0.05263158	4	0
0	-10.0	0.0	0	0
0	-0.455365310925108	-1.0	1	0
0	-10.0	-1.0	3	0
0	-10.0	0.01310908	1	0
1	-0.8024535784374781	-1.0	4	2
7	0.830941771765424	-1.0	42	7
0	-2.53125239294469	-1.0	4	0
69	1.85575794331124	-1.0	630	61
0	-10.0	0.0	0	0
0	-0.133027631054005	-1.0	1	1
0	-10.0	0.0	1	0
0	-10.0	0.00023923	2	0
0	-10.0	0.0	0	0
0	-10.0	0.0	1	0
0	-10.0	-1.0	17	0
0	0.16385272905346698	0.00040437	1	0
0	-10.0	0.00492407	2	0
0	1.42287977291244	0.0	33	0
0	-10.0	-1.0	9	1
2	-2.53125239294469	0.00117314	47	3
0	1.7506943326587798	0.0	1098	0
0	-10.0	0.00096502	1	0
26	2.06191737480244	-1.0	280	37
0	-10.0	0.0	0	0
0	-10.0	0.0	0	0
0	-1.52309443049541	-1.0	2	0
3	-0.198977549193212	-1.0	4	2
0	-10.0	0.00033602	1	0
0	-10.0	0.0	0	0
0	0.229202915796213	-1.0	2	0
0	-0.579029139854318	0.0	12	0
1	-10.0	-1.0	10	1
5	0.894162937496905	-1.0	50	8
0	-10.0	0.00157866	1	1
0	-10.0	0.0	0	0
0	-10.0	-1.0	11	1
2	-10.0	-1.0	17	1
0	-2.53125239294469	-1.0	2	0
1	1.10389601923508	-1.0	5	4
0	-10.0	0.01411257	1	1
7	0.626957518615223	-1.0	78	6
0	-10.0	0.0	0	0
9	1.6402457256544798	-1.0	54	11
0	-10.0	0.0	0	0
3	0.6088596284603249	-1.0	40	2
24	1.87352776570283	-1.0	230	24
8	0.331001753343709	-1.0	141	10
0	-1.52710998625529	0.00047418	3	0
1	-10.0	0.16383845	3	1
0	-10.0	-1.0	5	0
0	-0.276965016632095	-1.0	15	2
0	-2.18120181562613	0.00050872	5	3
1	1.54835355357281	-1.0	7	3
0	-10.0	0.01232016	3	0
0	-1.10712756160689	-1.0	2	1
0	-10.0	0.0	0	0
0	-2.53125239294469	0.00060529	1	0
0	0.6490136634916479	-1.0	2	1
0	-0.8557831999341841	-1.0	1	0
0	-10.0	0.00113296	1	1
12	1.24390812089941	-1.0	114	11
0	-10.0	0.0	0	0
0	-10.0	-1.0	11	0
1	0.5567923194008331	-1.0	2	1
1	-0.370322440973404	-1.0	1	0
12	1.4625774263791902	-1.0	84	10
1	1.10389601923508	-1.0	1	1
1	-10.0	0.16383845	2	1
0	-10.0	0.00116389	2	1
0	1.071537589513	-1.0	2	0
13	1.02548186684816	-1.0	87	10
0	-10.0	0.0	0	0
0	-0.479167205933935	0.00017719999999999994	1	0
0	-0.377055762811742	-1.0	1	0
0	0.7655799597881071	-1.0	1	1
0	-10.0	0.00098202	7	1
0	-2.53125239294469	0.00018462	1	0
0	-10.0	0.00374065	2	0
34	2.63070075112083	-1.0	393	37
9	1.06728894691475	-1.0	100	7
13	0.61442341207725	-1.0	167	31
0	-10.0	0.0	0	0
1	-10.0	-1.0	1	1
0	0.0614037861243949	0.0	70	0
0	-10.0	-1.0	1	0
0	-10.0	0.0	0	0
2	0.961206774595302	-1.0	2	0
0	-10.0	0.0	0	0
0	-2.20556738605708	0.0	21	0
0	-10.0	0.0	0	0
0	-0.654541876765333	-1.0	2	0
0	-10.0	0.00479366	17	0
0	-10.0	-1.0	5	1
0	-10.0	0.15909091	2	0
0	-1.20830830104818	0.0	81	0
1	-2.21117384475145	-1.0	1	0
0	-1.3930600992537	-1.0	2	1
20	1.13402489714326	-1.0	271	38
1	-10.0	0.01177794	2	0
23	1.5257905100031102	-1.0	183	23
0	-10.0	0.00157042	3	0
1	0.5748288367873969	-1.0	3	1
0	-10.0	-1.0	13	0
0	-1.10134133730077	0.0	1	0
0	-10.0	0.15909091	2	0
0	-10.0	0.00120366	1	0
1	0.948616755203132	-1.0	6	1
0	-0.3921162893507029	-1.0	2	1
0	-10.0	0.00073979	1	0
0	1.071537589513	-1.0	1	0
0	-10.0	0.0	0	0
0	-10.0	0.00021802	1	0
1	-10.0	0.16539408	2	1
5	0.955282766165513	-1.0	48	6
0	-0.298626540513724	-1.0	1	1
38	0.8625465803691809	-1.0	270	35
15	2.1171671566195904	-1.0	102	11
0	-10.0	0.0	0	0
0	-0.552330220271276	-1.0	4	1
0	1.16032781411676	-1.0	2	0
1	0.0505501512533379	-1.0	3	0
19	1.6977529854853002	-1.0	184	21
0	0.331001753343709	0.0	140	0
29	1.4625774263791902	-1.0	268	26
1	-10.0	-1.0	2	1
2	0.6481282648073029	-1.0	20	3
0	-2.53125239294469	0.00281786	2	1
0	-1.823595483141	-1.0	1	0
23	1.19534703454519	-1.0	193	19
0	-10.0	-1.0	1	0
1	-2.16344379599169	-1.0	6	2
0	-0.642346043004613	-1.0	2	0
0	-10.0	0.16217761	1	0
1	0.474299697099052	-1.0	1	0
0	1.40863121588177	0.0	239	0
0	-10.0	-1.0	1	0
0	-10.0	-1.0	32	0
0	-10.0	-1.0	11	0
1	-0.118559347933387	-1.0	1	1
0	0.7234877009206658	-1.0	2	0
0	-10.0	-1.0	33	0
0	-1.44320548803424	-1.0	9	2
0	-2.53125239294469	0.00040251	2	0
0	-10.0	0.0	0	0
0	0.5197513475589429	-1.0	5	0
0	-10.0	0.0	0	0
4	-1.83657646193973	-1.0	44	6
1	0.81196708571088	-1.0	7	1
0	-0.23099626893382505	-1.0	1	1
1	-10.0	-1.0	6	1
0	-10.0	0.00445379	5	1
0	-10.0	-1.0	3	0
0	-10.0	0.0	0	0
0	-2.53125239294469	-1.0	1	0
0	-10.0	0.00132879	2	1
0	-10.0	0.0	20	0
0	-10.0	0.0	0	0
12	1.00801824147683	-1.0	93	6
0	-10.0	0.0	0	0
0	-1.20830830104818	0.0	82	0
0	-10.0	0.0	0	0
6	-10.0	-1.0	27	6
0	-2.53125239294469	0.00041224	30	0
0	-10.0	0.0	0	0
0	-10.0	0.0	0	0
1	-10.0	-1.0	2	0
14	1.39890371617901	-1.0	90	12
0	-10.0	-1.0	3	0
0	-10.0	-1.0	1	0
34	1.48125819030658	-1.0	350	38
1	-10.0	0.16539408	2	1
0	-10.0	0.0	1	0
19	2.12131596857495	-1.0	259	32
0	0.124946988133116	-1.0	1	0
0	-10.0	0.0	1	0
1	0.723338505431698	-1.0	6	0
0	-10.0	0.0	0	0
0	0.6490136634916479	-1.0	2	1
1	1.03593237786764	-1.0	1	0
1	-0.532230743818488	0.00048881	15	2
0	-10.0	0.0	0	0
0	0.2270286846146889	-1.0	5	2
0	-10.0	0.00416287	1	0
1	0.489983736503025	-1.0	1	1
0	0.331001753343709	0.0	123	0
1	0.42270511038795294	-1.0	20	1
0	-1.99868505864563	0.00065246	2	0
0	0.5100557421176409	0.00021802	10	0
0	-10.0	-1.0	4	0
0	-10.0	0.0	0	0
0	-1.7607520606986102	-1.0	2	1
0	0.0953391013184089	0.00017719999999999994	1	0
1	2.12635230559952	-1.0	1	1
1	0.270281541988574	-1.0	4	1
0	-1.87733193212984	-1.0	2	0
0	0.43226335800782895	-1.0	1	0
0	-2.41361786286301	-1.0	6	1
0	-2.53125239294469	0.00065355	2	0
1	-0.266491679195909	0.00218594	1	0
0	-10.0	0.00010212	2	0
43	1.3865979938356998	-1.0	312	48
102	1.4403444364022198	-1.0	779	95
1	-10.0	0.16383845	2	1
1	-10.0	-1.0	1	1
11	0.742047160588102	-1.0	63	13
0	0.331001753343709	0.0	128	0
0	-0.241096896068578	-1.0	1	0
0	-2.53125239294469	0.0	5	0
1	0.2003163870283189	-1.0	3	1
0	-10.0	0.0090154	22	1
0	1.04415246618443	0.00167244	1	1
0	-0.913321979887506	-1.0	1	0
0	-10.0	0.0	0	0
0	-10.0	0.0	0	0
0	-10.0	-1.0	1	1
0	-10.0	-1.0	11	0
17	1.12015129224454	-1.0	124	24
1	0.229848295556347	-1.0	5	0
0	-10.0	0.0	12	0
0	-0.617783714921849	0.00016489	1	0
0	1.23490947497687	-1.0	4	1
17	-10.0	-1.0	88	20
0	-10.0	0.00084131	3	2
1	-10.0	-1.0	6	0
0	-10.0	-1.0	2	0
0	-10.0	0.0	0	0
0	-10.0	0.0	18	0
1	-2.53125239294469	0.00027335	1	0
17	1.31305669224682	-1.0	129	13
0	0.763772059910448	-1.0	2	0
27	2.63070075112083	-1.0	554	31
0	-10.0	0.0	0	0
13	1.65927736339156	-1.0	101	14
0	-0.7463551644865671	-1.0	4	0
38	2.05512270012396	-1.0	229	35
0	-10.0	0.10534376	5	0
0	-10.0	0.03259141	4	0
0	-10.0	0.0	0	0
24	1.4819776792291	-1.0	235	16
0	-0.955747908553792	0.0	2	0
2	1.0318513318971898	-1.0	13	3
0	-10.0	-1.0	10	0
0	0.489983736503025	0.0	88	0
0	-10.0	0.0	24	0
1	-0.8253357730366209	-1.0	2	0
0	-10.0	0.0	0	0
0	-10.0	0.0	28	0
0	-0.0186137325751706	-1.0	1	0
31	1.32464443842359	-1.0	363	36
1	-10.0	-1.0	5	1
1	-10.0	0.16383845	2	1
0	-10.0	-1.0	1	0
0	-10.0	0.0	0	0
0	-10.0	-1.0	1	0
0	-10.0	0.0	0	0
0	-10.0	0.00032979	1	0
0	-10.0	0.0	0	0
1	0.776399335969068	0.00010212	11	1
0	-10.0	0.00120366	1	0
1	-10.0	0.10911711	6	1
1	0.8965044699267259	-1.0	4	0
0	-0.8713827618310821	0.00040251	8	2
1	-10.0	0.16383845	2	1
0	1.6977529854853002	0.00032349	8	2
0	0.759220470107	-1.0	1	0
0	-1.04130487279805	-1.0	6	0
0	-10.0	0.00051004	1	0
0	-10.0	0.10129061	2	0
21	1.26702359072398	-1.0	247	25
0	-10.0	-1.0	2	0
1	-0.20618434625510504	-1.0	1	1
8	1.37038042178382	-1.0	49	9
0	-10.0	0.0	0	0
0	-10.0	0.0	0	0
1	0.7888495500086249	-1.0	1	0
6	1.101797233326	-1.0	49	4
0	-2.53125239294469	0.00087209	7	0
0	-10.0	-1.0	12	0
6	0.92089419949657	-1.0	147	8
0	-10.0	0.03368497	6	0
0	-10.0	-1.0	1	0
33	2.28069632946138	-1.0	245	27
0	-2.53125239294469	-1.0	6	0
1	-10.0	0.16383845	2	1
0	-10.0	0.0	0	0
8	1.28974779714329	-1.0	118	15
1	1.2538308349233898	-1.0	21	0
0	0.351153588640925	-1.0	33	1
2	-2.53125239294469	0.00117314	49	3
0	-0.910013642703016	-1.0	1	0
0	0.5896378424879251	-1.0	1	0
0	-10.0	0.00141129	1	0
11	0.917866548419652	-1.0	147	19
0	0.0201078230804091	-1.0	1	0
2	0.343052619411427	-1.0	11	2
0	-10.0	0.0	4	0
0	-10.0	0.0	0	0
2	0.149959634610844	-1.0	14	3
0	-10.0	-1.0	12	0
5	-10.0	-1.0	14	6
0	-10.0	0.00231192	14	1
1	0.5100557421176409	-1.0	30	7
0	-10.0	0.00084131	3	2
0	-10.0	0.00273015	3	0
0	-10.0	0.0007781000000000001	4	0
0	-0.479167205933935	0.00017719999999999994	1	0
0	-10.0	-1.0	17	0
1	-2.53125239294469	-1.0	1	0
1	-10.0	-1.0	3	1
0	-10.0	0.0	10	0
6	-10.0	-1.0	17	8
0	-10.0	-1.0	1	0
1	0.9445666853685892	-1.0	3	0
0	-1.7616950734389	-1.0	2	1
0	-0.328886992869904	-1.0	3	1
35	1.66167268004947	-1.0	340	39
1	1.01592430401193	-1.0	2	0
0	-10.0	0.0009646	4	0
0	-10.0	0.00369402	3	0
1	0.825857837477757	0.00119617	1	0
0	-10.0	0.0	0	0
1	0.8481854999253051	-1.0	1	1
1	-10.0	-1.0	1	1
0	-2.53125239294469	-1.0	5	0
1	0.341788406753576	-1.0	1	1
0	-10.0	0.0008714	4	1
0	-10.0	-1.0	2	0
0	-1.87733193212984	0.00010212	1	0
0	-10.0	0.0	0	0
0	-1.1594566716201102	-1.0	1	1
0	-10.0	0.0	32	0
0	-10.0	-1.0	2	0
0	-10.0	0.0	0	0
0	-1.99868505864563	-1.0	1	0
0	-10.0	0.00077201	7	0
1	-1.7255192173659	0.00045954	11	2
1	1.05638596856783	-1.0	7	0
0	-10.0	0.01399825	4	0
0	-10.0	0.0	0	0
0	0.120849520422355	-1.0	1	0
1	1.12026628696117	-1.0	1	1
1	0.5748288367873969	-1.0	1	1
0	-0.276965016632095	0.0	14	0
0	-10.0	-1.0	1	0
2	1.54499066331673	-1.0	17	2
0	-10.0	-1.0	2	0
0	-10.0	0.0	0	0
0	-10.0	-1.0	17	0
0	-10.0	0.0	0	0
0	-10.0	-1.0	4	0
4	-1.83657646193973	-1.0	43	6
0	0.870981889007304	-1.0	1	0
0	1.071537589513	-1.0	1	0
0	-1.59832093214539	0.00219058	2	0
0	0.495147237111403	-1.0	2	0
0	-10.0	-1.0	4	0
0	-10.0	-1.0	11	0
1	-2.0956907897738897	0.00015318	3	1
0	-10.0	-1.0	22	0
8	0.40097387713134497	-1.0	106	11
1	-10.0	0.16689912	1	1
2	1.19076851573959	-1.0	5	0
1	1.21810538920687	-1.0	1	1
61	1.68855479747147	-1.0	496	75
4	0.385770963312264	-1.0	16	7
11	1.28974779714329	-1.0	150	20
0	-10.0	0.0	0	0
0	-10.0	0.11594203	1	0
1	-10.0	-1.0	3	1
0	1.071537589513	0.00035411	1	0
7	1.02269221085416	-1.0	35	3
14	0.61442341207725	-1.0	190	35
0	0.6891377570327321	-1.0	6	0
0	-2.53125239294469	0.00171494	4	0
0	0.9931566463481312	-1.0	4	2
0	-0.571784532313866	-1.0	2	0
16	0.973808958628458	-1.0	194	29
0	-10.0	0.00573545	1	0
1	1.6977529854853002	-1.0	32	5
1	-10.0	-1.0	2	1
0	0.140906218471867	-1.0	1	0
0	-10.0	0.0	0	0
0	-10.0	0.0	0	0
0	-10.0	0.00091396	1	0
0	-2.53125239294469	0.00311269	4	0
0	-10.0	0.04079431	3	0
15	1.4523550997094	-1.0	145	14
0	-10.0	0.08029197	1	0
0	-2.53125239294469	0.00082447	2	0
0	-10.0	0.03259141	4	0
0	-10.0	0.0	4	0
0	-10.0	-1.0	19	0
0	-0.398319162766222	-1.0	1	0
19	1.36511583316263	-1.0	188	24
0	-10.0	0.00415351	1	0
0	0.0901275675672749	-1.0	1	1
1	-0.4504240127737629	-1.0	1	1
0	-10.0	-1.0	1	0
0	-0.245921716316404	-1.0	1	0
0	-10.0	-1.0	2	0
3	-10.0	-1.0	104	1
0	0.0614037861243949	0.0	43	0
1	2.12635230559952	-1.0	4	1
0	-1.20830830104818	0.0	81	0
0	-10.0	-1.0	2	0
23	2.1171671566195904	-1.0	197	19
1	0.17402810024681695	-1.0	4	1
0	1.21700122132771	-1.0	5	1
1	0.6088727465724431	-1.0	4	1
0	-1.83657646193973	0.0	46	0
15	1.3865979938356998	-1.0	99	9
4	1.19534703454519	-1.0	24	4
0	2.8635851780584	0.0	1339	0
1	1.24519746550447	-1.0	10	1
0	-10.0	0.0	28	0
0	-10.0	0.00473599	2	0
0	-10.0	0.16222045	1	0
0	0.899457204788225	-1.0	2	0
214	-10.0	-1.0	1157	197
0	-10.0	-1.0	1	0
4	-10.0	-1.0	8	4
0	-1.73052117284161	0.00061271	1	1
1	-0.612098599384876	-1.0	4	1
0	-10.0	0.0	0	0
0	-10.0	0.00369402	2	0
1	0.16364272784561998	-1.0	1	0
0	-10.0	0.11594203	1	0
0	-10.0	-1.0	1	0
1	2.12635230559952	-1.0	1	1
1	0.30214245350428304	-1.0	1	0
0	-2.53125239294469	0.00247572	4	1
0	-10.0	0.0	0	0
0	-0.60803934607749	0.00015318	1	1
16	2.28069632946138	-1.0	118	11
0	0.75644976282688	-1.0	3	0
2	0.6003201918637471	-1.0	47	8
1	0.0534221641917595	-1.0	3	1
14	1.40216995277265	-1.0	122	15
0	-2.53125239294469	-1.0	28	0
1	-10.0	0.16539408	2	1
18	1.61561745402104	-1.0	173	26
0	-10.0	-1.0	2	1
0	-10.0	0.01399825	4	0
0	-10.0	-1.0	1	0
